# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t362: free(id=716157500, size=24, site=122, thread=1283928880)
t363: alloc(id=729864207, size=24, site=122, thread=1283928880)
t367: free(id=729864207, size=24, site=122, thread=1283928880)
t368: alloc(id=984849465, size=24, site=122, thread=1283928880)
t372: free(id=984849465, size=24, site=122, thread=1283928880)
t373: alloc(id=787387795, size=24, site=122, thread=1283928880)
t377: free(id=787387795, size=24, site=122, thread=1283928880)
t378: alloc(id=2030562336, size=24, site=122, thread=1283928880)
t382: free(id=2030562336, size=24, site=122, thread=1283928880)
t383: alloc(id=1416233903, size=24, site=122, thread=1283928880)
t387: free(id=1416233903, size=24, site=122, thread=1283928880)
t388: alloc(id=1914572623, size=24, site=122, thread=1283928880)
t392: free(id=1914572623, size=24, site=122, thread=1283928880)
t393: alloc(id=679890578, size=24, site=122, thread=1283928880)
t397: free(id=679890578, size=24, site=122, thread=1283928880)
t398: alloc(id=1856426318, size=24, site=122, thread=1283928880)
t402: free(id=1856426318, size=24, site=122, thread=1283928880)
t403: alloc(id=1792393294, size=24, site=122, thread=1283928880)
t407: free(id=1792393294, size=24, site=122, thread=1283928880)
t408: alloc(id=1748225580, size=24, site=122, thread=1283928880)
t412: free(id=1748225580, size=24, site=122, thread=1283928880)
t413: alloc(id=1918627686, size=24, site=122, thread=1283928880)
t417: free(id=1918627686, size=24, site=122, thread=1283928880)
t418: alloc(id=716143810, size=24, site=122, thread=1283928880)
t422: free(id=716143810, size=24, site=122, thread=1283928880)
t423: alloc(id=1849433705, size=24, site=122, thread=1283928880)
t427: free(id=1849433705, size=24, site=122, thread=1283928880)
t428: alloc(id=411631404, size=24, site=122, thread=1283928880)
t432: free(id=411631404, size=24, site=122, thread=1283928880)
t433: alloc(id=897913732, size=24, site=122, thread=1283928880)
t437: free(id=897913732, size=24, site=122, thread=1283928880)
t438: alloc(id=1688019098, size=24, site=122, thread=1283928880)
t442: free(id=1688019098, size=24, site=122, thread=1283928880)
t443: alloc(id=1792845110, size=24, site=122, thread=1283928880)
t447: free(id=1792845110, size=24, site=122, thread=1283928880)
t448: alloc(id=896681694, size=24, site=122, thread=1283928880)
t452: free(id=896681694, size=24, site=122, thread=1283928880)
t453: alloc(id=687241927, size=24, site=122, thread=1283928880)
t457: free(id=687241927, size=24, site=122, thread=1283928880)
t458: alloc(id=627185331, size=24, site=122, thread=1283928880)
t462: free(id=627185331, size=24, site=122, thread=1283928880)
t463: alloc(id=706277948, size=24, site=122, thread=1283928880)
t467: free(id=706277948, size=24, site=122, thread=1283928880)
t468: alloc(id=226170135, size=24, site=122, thread=1283928880)
t472: free(id=226170135, size=24, site=122, thread=1283928880)
t473: alloc(id=381707837, size=24, site=122, thread=1283928880)
t477: free(id=381707837, size=24, site=122, thread=1283928880)
t478: alloc(id=589446616, size=24, site=122, thread=1283928880)
t482: free(id=589446616, size=24, site=122, thread=1283928880)
t483: alloc(id=1321640594, size=24, site=122, thread=1283928880)
t487: free(id=1321640594, size=24, site=122, thread=1283928880)
t488: alloc(id=457233904, size=24, site=122, thread=1283928880)
t492: free(id=457233904, size=24, site=122, thread=1283928880)
t493: alloc(id=245672235, size=24, site=122, thread=1283928880)
t497: free(id=245672235, size=24, site=122, thread=1283928880)
t498: alloc(id=1012570586, size=24, site=122, thread=1283928880)
t502: free(id=1012570586, size=24, site=122, thread=1283928880)
t503: alloc(id=1207140081, size=24, site=122, thread=1283928880)
t507: free(id=1207140081, size=24, site=122, thread=1283928880)
t508: alloc(id=1510067370, size=24, site=122, thread=1283928880)
t512: free(id=1510067370, size=24, site=122, thread=1283928880)
t513: alloc(id=1908923184, size=24, site=122, thread=1283928880)
t517: free(id=1908923184, size=24, site=122, thread=1283928880)
t518: alloc(id=431687835, size=24, site=122, thread=1283928880)
t522: free(id=431687835, size=24, site=122, thread=1283928880)
t523: alloc(id=1164175787, size=24, site=122, thread=1283928880)
t527: free(id=1164175787, size=24, site=122, thread=1283928880)
t528: alloc(id=290658609, size=24, site=122, thread=1283928880)
t532: free(id=290658609, size=24, site=122, thread=1283928880)
t533: alloc(id=1577213552, size=24, site=122, thread=1283928880)
t537: free(id=1577213552, size=24, site=122, thread=1283928880)
t538: alloc(id=532445947, size=24, site=122, thread=1283928880)
t542: free(id=532445947, size=24, site=122, thread=1283928880)
t543: alloc(id=1170794006, size=24, site=122, thread=1283928880)
t547: free(id=1170794006, size=24, site=122, thread=1283928880)
t548: alloc(id=1289479439, size=24, site=122, thread=1283928880)
t552: free(id=1289479439, size=24, site=122, thread=1283928880)
t553: alloc(id=6738746, size=24, site=122, thread=1283928880)
t557: free(id=6738746, size=24, site=122, thread=1283928880)
t558: alloc(id=2096171631, size=24, site=122, thread=1283928880)
t562: free(id=2096171631, size=24, site=122, thread=1283928880)
t563: alloc(id=2114694065, size=24, site=122, thread=1283928880)
t567: free(id=2114694065, size=24, site=122, thread=1283928880)
t568: alloc(id=1844169442, size=24, site=122, thread=1283928880)
t572: free(id=1844169442, size=24, site=122, thread=1283928880)
t573: alloc(id=1537358694, size=24, site=122, thread=1283928880)
t577: free(id=1537358694, size=24, site=122, thread=1283928880)
t578: alloc(id=804581391, size=24, site=122, thread=1283928880)
t582: free(id=804581391, size=24, site=122, thread=1283928880)
t583: alloc(id=209813603, size=24, site=122, thread=1283928880)
t587: free(id=209813603, size=24, site=122, thread=1283928880)
t588: alloc(id=1057941451, size=24, site=122, thread=1283928880)
t592: free(id=1057941451, size=24, site=122, thread=1283928880)
t593: alloc(id=1975358023, size=24, site=122, thread=1283928880)
t597: free(id=1975358023, size=24, site=122, thread=1283928880)
t598: alloc(id=2101440631, size=24, site=122, thread=1283928880)
t602: free(id=2101440631, size=24, site=122, thread=1283928880)
t603: alloc(id=2109957412, size=24, site=122, thread=1283928880)
t607: free(id=2109957412, size=24, site=122, thread=1283928880)
t608: alloc(id=901506536, size=24, site=122, thread=1283928880)
t612: free(id=901506536, size=24, site=122, thread=1283928880)
