timestamp,event_type,object_id,size,site_id,thread_id,type_id
5,alloc,1789447862,24,62,1950409828,3
7,free,1789447862,24,62,1950409828,3
18,alloc,1031980531,40,80,1950409828,7
27,free,1031980531,40,80,1950409828,7
39,alloc,1490180672,32,81,1950409828,12
41,free,1490180672,32,81,1950409828,12
59,alloc,110718392,24,98,1950409828,20
65,free,110718392,24,98,1950409828,20
76,alloc,32374789,40,80,1950409828,7
85,free,32374789,40,80,1950409828,7
89,alloc,515132998,24,96,1950409828,19
92,free,515132998,24,96,1950409828,19
93,alloc,1694819250,24,97,1950409828,19
98,free,1694819250,24,97,1950409828,19
